Temperature - (Celsius), Year, Statistics, Country, ISO3
26.9067, 1922, Jul Average, India, IND
26.2932, 1922, Aug Average, India, IND
25.7477, 1922, Sep Average, India, IND
23.9758, 1922, Oct Average, India, IND
20.3946, 1922, Nov Average, India, IND
16.7109, 1922, Dec Average, India, IND
16.9655, 1923, Jan Average, India, IND
18.463, 1923, Feb Average, India, IND
23.6177, 1923, Mar Average, India, IND
27.9149, 1923, Apr Average, India, IND
29.6821, 1923, May Average, India, IND
30.8297, 1923, Jun Average, India, IND
26.8653, 1923, Jul Average, India, IND
26.0056, 1923, Aug Average, India, IND
25.9956, 1923, Sep Average, India, IND
23.8449, 1923, Oct Average, India, IND
20.3401, 1923, Nov Average, India, IND
17.646, 1923, Dec Average, India, IND
16.9524, 1924, Jan Average, India, IND
19.4626, 1924, Feb Average, India, IND
24.8252, 1924, Mar Average, India, IND
28.4966, 1924, Apr Average, India, IND
29.3168, 1924, May Average, India, IND
30.4743, 1924, Jun Average, India, IND
27.2154, 1924, Jul Average, India, IND
26.4486, 1924, Aug Average, India, IND
25.5561, 1924, Sep Average, India, IND
24.1733, 1924, Oct Average, India, IND
19.8427, 1924, Nov Average, India, IND
17.3365, 1924, Dec Average, India, IND
15.7423, 1925, Jan Average, India, IND
17.8748, 1925, Feb Average, India, IND
23.7322, 1925, Mar Average, India, IND
28.5238, 1925, Apr Average, India, IND
29.1022, 1925, May Average, India, IND
28.1773, 1925, Jun Average, India, IND
26.3098, 1925, Jul Average, India, IND
26.4474, 1925, Aug Average, India, IND
26.3764, 1925, Sep Average, India, IND
24.8023, 1925, Oct Average, India, IND
20.3821, 1925, Nov Average, India, IND
17.035, 1925, Dec Average, India, IND
17.3497, 1926, Jan Average, India, IND
20.1127, 1926, Feb Average, India, IND
22.9553, 1926, Mar Average, India, IND
25.7893, 1926, Apr Average, India, IND
28.9227, 1926, May Average, India, IND
30.9242, 1926, Jun Average, India, IND
27.4981, 1926, Jul Average, India, IND
26.3202, 1926, Aug Average, India, IND
25.8949, 1926, Sep Average, India, IND
24.1814, 1926, Oct Average, India, IND
19.2964, 1926, Nov Average, India, IND
17.1669, 1926, Dec Average, India, IND
16.7314, 1927, Jan Average, India, IND
18.4781, 1927, Feb Average, India, IND
22.7541, 1927, Mar Average, India, IND
27.4455, 1927, Apr Average, India, IND
29.4896, 1927, May Average, India, IND
29.2935, 1927, Jun Average, India, IND
26.7939, 1927, Jul Average, India, IND
26.0924, 1927, Aug Average, India, IND
26.1619, 1927, Sep Average, India, IND
24.5228, 1927, Oct Average, India, IND
19.6855, 1927, Nov Average, India, IND
17.8125, 1927, Dec Average, India, IND
17.0513, 1928, Jan Average, India, IND
19.3279, 1928, Feb Average, India, IND
23.6565, 1928, Mar Average, India, IND
27.5538, 1928, Apr Average, India, IND
30.5888, 1928, May Average, India, IND
29.0983, 1928, Jun Average, India, IND
26.9067, 1928, Jul Average, India, IND
26.7022, 1928, Aug Average, India, IND
26.2399, 1928, Sep Average, India, IND
24.7735, 1928, Oct Average, India, IND
20.8207, 1928, Nov Average, India, IND
17.3035, 1928, Dec Average, India, IND
16.9132, 1929, Jan Average, India, IND
18.1484, 1929, Feb Average, India, IND
24.3837, 1929, Mar Average, India, IND
27.6098, 1929, Apr Average, India, IND
30.5591, 1929, May Average, India, IND
29.1311, 1929, Jun Average, India, IND
26.8497, 1929, Jul Average, India, IND
26.0855, 1929, Aug Average, India, IND
26.3938, 1929, Sep Average, India, IND
24.1933, 1929, Oct Average, India, IND
20.6769, 1929, Nov Average, India, IND
16.8636, 1929, Dec Average, India, IND
16.5467, 1930, Jan Average, India, IND
18.3672, 1930, Feb Average, India, IND
23.8273, 1930, Mar Average, India, IND
27.1568, 1930, Apr Average, India, IND
29.7961, 1930, May Average, India, IND
29.1268, 1930, Jun Average, India, IND
26.5527, 1930, Jul Average, India, IND
26.2167, 1930, Aug Average, India, IND
26.3209, 1930, Sep Average, India, IND
24.7371, 1930, Oct Average, India, IND
19.9516, 1930, Nov Average, India, IND
17.5027, 1930, Dec Average, India, IND
17.8435, 1931, Jan Average, India, IND
18.7295, 1931, Feb Average, India, IND
23.234, 1931, Mar Average, India, IND
28.6173, 1931, Apr Average, India, IND
30.1928, 1931, May Average, India, IND
30.2288, 1931, Jun Average, India, IND
27.0288, 1931, Jul Average, India, IND
26.7403, 1931, Aug Average, India, IND
25.9506, 1931, Sep Average, India, IND
24.2301, 1931, Oct Average, India, IND
20.1666, 1931, Nov Average, India, IND
17.5288, 1931, Dec Average, India, IND
17.758, 1932, Jan Average, India, IND
18.2866, 1932, Feb Average, India, IND
23.5361, 1932, Mar Average, India, IND
27.5639, 1932, Apr Average, India, IND
29.483, 1932, May Average, India, IND
29.9162, 1932, Jun Average, India, IND
27.0302, 1932, Jul Average, India, IND
26.3547, 1932, Aug Average, India, IND
26.2429, 1932, Sep Average, India, IND
24.9086, 1932, Oct Average, India, IND
20.6087, 1932, Nov Average, India, IND
17.2898, 1932, Dec Average, India, IND
16.3047, 1933, Jan Average, India, IND
19.628, 1933, Feb Average, India, IND
23.5616, 1933, Mar Average, India, IND
26.536, 1933, Apr Average, India, IND
28.2065, 1933, May Average, India, IND
28.4618, 1933, Jun Average, India, IND
26.9075, 1933, Jul Average, India, IND
25.7866, 1933, Aug Average, India, IND
25.6584, 1933, Sep Average, India, IND
24.1378, 1933, Oct Average, India, IND
20.4563, 1933, Nov Average, India, IND
17.4999, 1933, Dec Average, India, IND
15.9996, 1934, Jan Average, India, IND
19.5032, 1934, Feb Average, India, IND
23.0042, 1934, Mar Average, India, IND
27.755, 1934, Apr Average, India, IND
29.8596, 1934, May Average, India, IND
29.0423, 1934, Jun Average, India, IND
26.8733, 1934, Jul Average, India, IND
26.0915, 1934, Aug Average, India, IND
26.1055, 1934, Sep Average, India, IND
23.9239, 1934, Oct Average, India, IND
19.732, 1934, Nov Average, India, IND
17.4891, 1934, Dec Average, India, IND
16.0076, 1935, Jan Average, India, IND
19.1703, 1935, Feb Average, India, IND
23.4809, 1935, Mar Average, India, IND
25.8742, 1935, Apr Average, India, IND
30.533, 1935, May Average, India, IND
29.9094, 1935, Jun Average, India, IND
26.773, 1935, Jul Average, India, IND
25.9723, 1935, Aug Average, India, IND
25.7152, 1935, Sep Average, India, IND
24.3666, 1935, Oct Average, India, IND
20.5073, 1935, Nov Average, India, IND
17.5297, 1935, Dec Average, India, IND
16.7183, 1936, Jan Average, India, IND
19.0424, 1936, Feb Average, India, IND
23.2758, 1936, Mar Average, India, IND
27.2833, 1936, Apr Average, India, IND
30.5436, 1936, May Average, India, IND
27.7077, 1936, Jun Average, India, IND
26.7926, 1936, Jul Average, India, IND
26.2444, 1936, Aug Average, India, IND
26.0791, 1936, Sep Average, India, IND
24.3605, 1936, Oct Average, India, IND
20.8662, 1936, Nov Average, India, IND
17.4164, 1936, Dec Average, India, IND
16.1981, 1937, Jan Average, India, IND
19.3348, 1937, Feb Average, India, IND
22.6716, 1937, Mar Average, India, IND
26.6228, 1937, Apr Average, India, IND
29.7855, 1937, May Average, India, IND
29.624, 1937, Jun Average, India, IND
26.7443, 1937, Jul Average, India, IND
26.5626, 1937, Aug Average, India, IND
26.2516, 1937, Sep Average, India, IND
23.9025, 1937, Oct Average, India, IND
20.4732, 1937, Nov Average, India, IND
16.6876, 1937, Dec Average, India, IND
17.4222, 1938, Jan Average, India, IND
18.034, 1938, Feb Average, India, IND
24.5283, 1938, Mar Average, India, IND
28.2306, 1938, Apr Average, India, IND
30.4169, 1938, May Average, India, IND
27.5137, 1938, Jun Average, India, IND
26.7798, 1938, Jul Average, India, IND
26.5744, 1938, Aug Average, India, IND
26.4453, 1938, Sep Average, India, IND
24.5177, 1938, Oct Average, India, IND
19.5117, 1938, Nov Average, India, IND
17.2069, 1938, Dec Average, India, IND
17.532, 1939, Jan Average, India, IND
19.3571, 1939, Feb Average, India, IND
22.2002, 1939, Mar Average, India, IND
26.9562, 1939, Apr Average, India, IND
30.4464, 1939, May Average, India, IND
28.957, 1939, Jun Average, India, IND
26.8031, 1939, Jul Average, India, IND
26.7277, 1939, Aug Average, India, IND
26.1469, 1939, Sep Average, India, IND
24.8672, 1939, Oct Average, India, IND
20.2005, 1939, Nov Average, India, IND
17.4804, 1939, Dec Average, India, IND
16.7773, 1940, Jan Average, India, IND
19.1235, 1940, Feb Average, India, IND
22.2365, 1940, Mar Average, India, IND
26.9944, 1940, Apr Average, India, IND
30.0464, 1940, May Average, India, IND
29.3673, 1940, Jun Average, India, IND
26.9759, 1940, Jul Average, India, IND
26.1573, 1940, Aug Average, India, IND
26.1107, 1940, Sep Average, India, IND
24.7532, 1940, Oct Average, India, IND
21.288, 1940, Nov Average, India, IND
17.5176, 1940, Dec Average, India, IND
17.0138, 1941, Jan Average, India, IND
19.7385, 1941, Feb Average, India, IND
24.9177, 1941, Mar Average, India, IND
29.0112, 1941, Apr Average, India, IND
30.6861, 1941, May Average, India, IND
29.0972, 1941, Jun Average, India, IND
27.5438, 1941, Jul Average, India, IND
26.9744, 1941, Aug Average, India, IND
26.4807, 1941, Sep Average, India, IND
25.5712, 1941, Oct Average, India, IND
20.7594, 1941, Nov Average, India, IND
18.5173, 1941, Dec Average, India, IND
16.7332, 1942, Jan Average, India, IND
19.4922, 1942, Feb Average, India, IND
24.3354, 1942, Mar Average, India, IND
28.2842, 1942, Apr Average, India, IND
30.6084, 1942, May Average, India, IND
30.1125, 1942, Jun Average, India, IND
26.6693, 1942, Jul Average, India, IND
26.1025, 1942, Aug Average, India, IND
25.7014, 1942, Sep Average, India, IND
24.502, 1942, Oct Average, India, IND
20.8972, 1942, Nov Average, India, IND
17.2018, 1942, Dec Average, India, IND
17.5548, 1943, Jan Average, India, IND
18.5414, 1943, Feb Average, India, IND
23.8785, 1943, Mar Average, India, IND
26.6978, 1943, Apr Average, India, IND
29.8837, 1943, May Average, India, IND
28.692, 1943, Jun Average, India, IND
26.6966, 1943, Jul Average, India, IND
25.9697, 1943, Aug Average, India, IND
26.1022, 1943, Sep Average, India, IND
24.182, 1943, Oct Average, India, IND
21.148, 1943, Nov Average, India, IND
17.6301, 1943, Dec Average, India, IND
16.8268, 1944, Jan Average, India, IND
18.5847, 1944, Feb Average, India, IND
22.6104, 1944, Mar Average, India, IND
26.6122, 1944, Apr Average, India, IND
30.7389, 1944, May Average, India, IND
29.4071, 1944, Jun Average, India, IND
26.7797, 1944, Jul Average, India, IND
26.4042, 1944, Aug Average, India, IND
26.0386, 1944, Sep Average, India, IND
24.1912, 1944, Oct Average, India, IND
20.6739, 1944, Nov Average, India, IND
18.183, 1944, Dec Average, India, IND
15.9692, 1945, Jan Average, India, IND
18.4021, 1945, Feb Average, India, IND
23.875, 1945, Mar Average, India, IND
26.5864, 1945, Apr Average, India, IND
29.815, 1945, May Average, India, IND
29.6782, 1945, Jun Average, India, IND
26.8553, 1945, Jul Average, India, IND
26.6047, 1945, Aug Average, India, IND
25.9986, 1945, Sep Average, India, IND
24.0236, 1945, Oct Average, India, IND
20.0055, 1945, Nov Average, India, IND
16.3804, 1945, Dec Average, India, IND
17.1158, 1946, Jan Average, India, IND
20.0764, 1946, Feb Average, India, IND
23.5832, 1946, Mar Average, India, IND
27.9457, 1946, Apr Average, India, IND
29.8943, 1946, May Average, India, IND
28.7188, 1946, Jun Average, India, IND
26.8837, 1946, Jul Average, India, IND
26.3253, 1946, Aug Average, India, IND
26.1784, 1946, Sep Average, India, IND
24.8899, 1946, Oct Average, India, IND
20.6593, 1946, Nov Average, India, IND
17.8618, 1946, Dec Average, India, IND
16.7625, 1947, Jan Average, India, IND
19.2195, 1947, Feb Average, India, IND
24.0947, 1947, Mar Average, India, IND
28.271, 1947, Apr Average, India, IND
30.588, 1947, May Average, India, IND
30.1941, 1947, Jun Average, India, IND
27.1733, 1947, Jul Average, India, IND
26.8105, 1947, Aug Average, India, IND
25.9056, 1947, Sep Average, India, IND
23.6217, 1947, Oct Average, India, IND
20.8908, 1947, Nov Average, India, IND
17.7036, 1947, Dec Average, India, IND
17.2436, 1948, Jan Average, India, IND
19.0347, 1948, Feb Average, India, IND
23.1106, 1948, Mar Average, India, IND
28.2772, 1948, Apr Average, India, IND
30.6668, 1948, May Average, India, IND
29.7256, 1948, Jun Average, India, IND
27.1376, 1948, Jul Average, India, IND
26.2221, 1948, Aug Average, India, IND
26.0569, 1948, Sep Average, India, IND
24.8846, 1948, Oct Average, India, IND
20.7095, 1948, Nov Average, India, IND
16.9436, 1948, Dec Average, India, IND
17.7245, 1949, Jan Average, India, IND
18.8512, 1949, Feb Average, India, IND
23.9497, 1949, Mar Average, India, IND
27.8622, 1949, Apr Average, India, IND
30.0333, 1949, May Average, India, IND
29.0474, 1949, Jun Average, India, IND
26.8956, 1949, Jul Average, India, IND
26.4944, 1949, Aug Average, India, IND
26.3158, 1949, Sep Average, India, IND
24.6136, 1949, Oct Average, India, IND
19.5882, 1949, Nov Average, India, IND
16.7869, 1949, Dec Average, India, IND
17.3462, 1950, Jan Average, India, IND
18.0452, 1950, Feb Average, India, IND
22.696, 1950, Mar Average, India, IND
27.1435, 1950, Apr Average, India, IND
30.197, 1950, May Average, India, IND
29.3354, 1950, Jun Average, India, IND
26.6328, 1950, Jul Average, India, IND
26.3068, 1950, Aug Average, India, IND
25.7694, 1950, Sep Average, India, IND
24.0904, 1950, Oct Average, India, IND
