Temperature - (Celsius), Year, Statistics, Country, ISO3
25.8097, 1915, Dec Average, Indonesia, IDN
25.0538, 1916, Jan Average, Indonesia, IDN
25.3748, 1916, Feb Average, Indonesia, IDN
25.7929, 1916, Mar Average, Indonesia, IDN
25.9513, 1916, Apr Average, Indonesia, IDN
25.7689, 1916, May Average, Indonesia, IDN
25.4575, 1916, Jun Average, Indonesia, IDN
25.3471, 1916, Jul Average, Indonesia, IDN
25.4789, 1916, Aug Average, Indonesia, IDN
25.6654, 1916, Sep Average, Indonesia, IDN
26.0322, 1916, Oct Average, Indonesia, IDN
26.4378, 1916, Nov Average, Indonesia, IDN
25.6618, 1916, Dec Average, Indonesia, IDN
25.0586, 1917, Jan Average, Indonesia, IDN
25.0884, 1917, Feb Average, Indonesia, IDN
25.3881, 1917, Mar Average, Indonesia, IDN
25.6298, 1917, Apr Average, Indonesia, IDN
25.4781, 1917, May Average, Indonesia, IDN
25.335, 1917, Jun Average, Indonesia, IDN
25.5044, 1917, Jul Average, Indonesia, IDN
25.5034, 1917, Aug Average, Indonesia, IDN
25.9379, 1917, Sep Average, Indonesia, IDN
26.2302, 1917, Oct Average, Indonesia, IDN
26.5041, 1917, Nov Average, Indonesia, IDN
25.8397, 1917, Dec Average, Indonesia, IDN
24.5545, 1918, Jan Average, Indonesia, IDN
24.3323, 1918, Feb Average, Indonesia, IDN
25.3226, 1918, Mar Average, Indonesia, IDN
25.6609, 1918, Apr Average, Indonesia, IDN
25.7931, 1918, May Average, Indonesia, IDN
25.1042, 1918, Jun Average, Indonesia, IDN
24.9337, 1918, Jul Average, Indonesia, IDN
25.1458, 1918, Aug Average, Indonesia, IDN
25.3706, 1918, Sep Average, Indonesia, IDN
25.838, 1918, Oct Average, Indonesia, IDN
26.6004, 1918, Nov Average, Indonesia, IDN
25.6689, 1918, Dec Average, Indonesia, IDN
25.799, 1919, Jan Average, Indonesia, IDN
26.0643, 1919, Feb Average, Indonesia, IDN
26.1007, 1919, Mar Average, Indonesia, IDN
26.0699, 1919, Apr Average, Indonesia, IDN
26.0956, 1919, May Average, Indonesia, IDN
25.4158, 1919, Jun Average, Indonesia, IDN
24.7061, 1919, Jul Average, Indonesia, IDN
25.0706, 1919, Aug Average, Indonesia, IDN
25.4257, 1919, Sep Average, Indonesia, IDN
25.7487, 1919, Oct Average, Indonesia, IDN
26.2966, 1919, Nov Average, Indonesia, IDN
25.788, 1919, Dec Average, Indonesia, IDN
25.2654, 1920, Jan Average, Indonesia, IDN
25.2705, 1920, Feb Average, Indonesia, IDN
25.9012, 1920, Mar Average, Indonesia, IDN
25.995, 1920, Apr Average, Indonesia, IDN
26.2415, 1920, May Average, Indonesia, IDN
25.9189, 1920, Jun Average, Indonesia, IDN
25.6828, 1920, Jul Average, Indonesia, IDN
25.5633, 1920, Aug Average, Indonesia, IDN
26.0427, 1920, Sep Average, Indonesia, IDN
26.2694, 1920, Oct Average, Indonesia, IDN
26.5808, 1920, Nov Average, Indonesia, IDN
25.385, 1920, Dec Average, Indonesia, IDN
25.5872, 1921, Jan Average, Indonesia, IDN
25.4977, 1921, Feb Average, Indonesia, IDN
25.5237, 1921, Mar Average, Indonesia, IDN
25.6197, 1921, Apr Average, Indonesia, IDN
25.6285, 1921, May Average, Indonesia, IDN
25.4706, 1921, Jun Average, Indonesia, IDN
25.318, 1921, Jul Average, Indonesia, IDN
25.4397, 1921, Aug Average, Indonesia, IDN
25.5953, 1921, Sep Average, Indonesia, IDN
25.7264, 1921, Oct Average, Indonesia, IDN
26.2256, 1921, Nov Average, Indonesia, IDN
25.7104, 1921, Dec Average, Indonesia, IDN
25.7525, 1922, Jan Average, Indonesia, IDN
25.303, 1922, Feb Average, Indonesia, IDN
25.3878, 1922, Mar Average, Indonesia, IDN
25.6787, 1922, Apr Average, Indonesia, IDN
25.4946, 1922, May Average, Indonesia, IDN
25.3987, 1922, Jun Average, Indonesia, IDN
25.1775, 1922, Jul Average, Indonesia, IDN
24.8917, 1922, Aug Average, Indonesia, IDN
25.5583, 1922, Sep Average, Indonesia, IDN
25.7323, 1922, Oct Average, Indonesia, IDN
26.6334, 1922, Nov Average, Indonesia, IDN
26.0083, 1922, Dec Average, Indonesia, IDN
25.6301, 1923, Jan Average, Indonesia, IDN
25.6061, 1923, Feb Average, Indonesia, IDN
25.456, 1923, Mar Average, Indonesia, IDN
26.0274, 1923, Apr Average, Indonesia, IDN
25.9107, 1923, May Average, Indonesia, IDN
25.4745, 1923, Jun Average, Indonesia, IDN
24.7007, 1923, Jul Average, Indonesia, IDN
24.547, 1923, Aug Average, Indonesia, IDN
25.004, 1923, Sep Average, Indonesia, IDN
25.9105, 1923, Oct Average, Indonesia, IDN
26.3782, 1923, Nov Average, Indonesia, IDN
25.8865, 1923, Dec Average, Indonesia, IDN
25.9497, 1924, Jan Average, Indonesia, IDN
25.6623, 1924, Feb Average, Indonesia, IDN
25.8066, 1924, Mar Average, Indonesia, IDN
25.8201, 1924, Apr Average, Indonesia, IDN
26.1965, 1924, May Average, Indonesia, IDN
25.6261, 1924, Jun Average, Indonesia, IDN
25.3589, 1924, Jul Average, Indonesia, IDN
25.5949, 1924, Aug Average, Indonesia, IDN
25.511, 1924, Sep Average, Indonesia, IDN
25.2853, 1924, Oct Average, Indonesia, IDN
26.1149, 1924, Nov Average, Indonesia, IDN
25.4038, 1924, Dec Average, Indonesia, IDN
25.5751, 1925, Jan Average, Indonesia, IDN
24.9753, 1925, Feb Average, Indonesia, IDN
25.1851, 1925, Mar Average, Indonesia, IDN
25.6072, 1925, Apr Average, Indonesia, IDN
25.8704, 1925, May Average, Indonesia, IDN
25.4371, 1925, Jun Average, Indonesia, IDN
25.0655, 1925, Jul Average, Indonesia, IDN
25.3276, 1925, Aug Average, Indonesia, IDN
25.5324, 1925, Sep Average, Indonesia, IDN
25.6415, 1925, Oct Average, Indonesia, IDN
26.175, 1925, Nov Average, Indonesia, IDN
25.8098, 1925, Dec Average, Indonesia, IDN
25.4176, 1926, Jan Average, Indonesia, IDN
25.8592, 1926, Feb Average, Indonesia, IDN
26.018, 1926, Mar Average, Indonesia, IDN
26.5225, 1926, Apr Average, Indonesia, IDN
26.5214, 1926, May Average, Indonesia, IDN
25.7921, 1926, Jun Average, Indonesia, IDN
25.3283, 1926, Jul Average, Indonesia, IDN
25.6811, 1926, Aug Average, Indonesia, IDN
25.6986, 1926, Sep Average, Indonesia, IDN
25.9763, 1926, Oct Average, Indonesia, IDN
26.3231, 1926, Nov Average, Indonesia, IDN
25.8278, 1926, Dec Average, Indonesia, IDN
25.4739, 1927, Jan Average, Indonesia, IDN
25.9209, 1927, Feb Average, Indonesia, IDN
26.1271, 1927, Mar Average, Indonesia, IDN
26.0848, 1927, Apr Average, Indonesia, IDN
26.1001, 1927, May Average, Indonesia, IDN
25.7649, 1927, Jun Average, Indonesia, IDN
25.4179, 1927, Jul Average, Indonesia, IDN
25.3756, 1927, Aug Average, Indonesia, IDN
25.5674, 1927, Sep Average, Indonesia, IDN
25.6861, 1927, Oct Average, Indonesia, IDN
26.1811, 1927, Nov Average, Indonesia, IDN
26.0063, 1927, Dec Average, Indonesia, IDN
25.9494, 1928, Jan Average, Indonesia, IDN
25.8605, 1928, Feb Average, Indonesia, IDN
25.7522, 1928, Mar Average, Indonesia, IDN
26.133, 1928, Apr Average, Indonesia, IDN
26.1898, 1928, May Average, Indonesia, IDN
25.4651, 1928, Jun Average, Indonesia, IDN
25.2551, 1928, Jul Average, Indonesia, IDN
25.512, 1928, Aug Average, Indonesia, IDN
