"X","Temperature....Celsius.","Year","Statistics","Country","ISO3"
164,12.5135,1974," Aug Average"," Russia"," RUS"
165,6.43721,1974," Sep Average"," Russia"," RUS"
166,-6.1516,1974," Oct Average"," Russia"," RUS"
167,-20.634,1974," Nov Average"," Russia"," RUS"
168,-24.919,1974," Dec Average"," Russia"," RUS"
169,-24.32,1975," Jan Average"," Russia"," RUS"
170,-23.781,1975," Feb Average"," Russia"," RUS"
171,-14.288,1975," Mar Average"," Russia"," RUS"
172,-4.9958,1975," Apr Average"," Russia"," RUS"
173,3.76141,1975," May Average"," Russia"," RUS"
174,11.551,1975," Jun Average"," Russia"," RUS"
175,14.5129,1975," Jul Average"," Russia"," RUS"
176,11.6358,1975," Aug Average"," Russia"," RUS"
177,6.27263,1975," Sep Average"," Russia"," RUS"
178,-4.9481,1975," Oct Average"," Russia"," RUS"
179,-16.845,1975," Nov Average"," Russia"," RUS"
180,-21.98,1975," Dec Average"," Russia"," RUS"
181,-25.217,1976," Jan Average"," Russia"," RUS"
182,-26.732,1976," Feb Average"," Russia"," RUS"
183,-18.33,1976," Mar Average"," Russia"," RUS"
184,-5.6587,1976," Apr Average"," Russia"," RUS"
185,2.04469,1976," May Average"," Russia"," RUS"
186,10.6276,1976," Jun Average"," Russia"," RUS"
187,13.8481,1976," Jul Average"," Russia"," RUS"
188,11.7455,1976," Aug Average"," Russia"," RUS"
189,5.60303,1976," Sep Average"," Russia"," RUS"
190,-8.7478,1976," Oct Average"," Russia"," RUS"
191,-18.452,1976," Nov Average"," Russia"," RUS"
192,-25.839,1976," Dec Average"," Russia"," RUS"
193,-28.339,1977," Jan Average"," Russia"," RUS"
194,-27.809,1977," Feb Average"," Russia"," RUS"
195,-18.159,1977," Mar Average"," Russia"," RUS"
196,-5.2395,1977," Apr Average"," Russia"," RUS"
197,4.2924,1977," May Average"," Russia"," RUS"
198,12.0314,1977," Jun Average"," Russia"," RUS"
199,14.4068,1977," Jul Average"," Russia"," RUS"
200,11.4009,1977," Aug Average"," Russia"," RUS"
201,5.12173,1977," Sep Average"," Russia"," RUS"
202,-8.1497,1977," Oct Average"," Russia"," RUS"
203,-15.87,1977," Nov Average"," Russia"," RUS"
204,-24.879,1977," Dec Average"," Russia"," RUS"
205,-26.04,1978," Jan Average"," Russia"," RUS"
206,-24.272,1978," Feb Average"," Russia"," RUS"
207,-15.879,1978," Mar Average"," Russia"," RUS"
208,-7.1176,1978," Apr Average"," Russia"," RUS"
209,1.66796,1978," May Average"," Russia"," RUS"
210,10.1616,1978," Jun Average"," Russia"," RUS"
211,13.94,1978," Jul Average"," Russia"," RUS"
212,11.3205,1978," Aug Average"," Russia"," RUS"
213,5.11687,1978," Sep Average"," Russia"," RUS"
214,-4.3483,1978," Oct Average"," Russia"," RUS"
215,-13.468,1978," Nov Average"," Russia"," RUS"
216,-27.811,1978," Dec Average"," Russia"," RUS"
217,-30,1979," Jan Average"," Russia"," RUS"
218,-26.514,1979," Feb Average"," Russia"," RUS"
219,-17.774,1979," Mar Average"," Russia"," RUS"
220,-9.4566,1979," Apr Average"," Russia"," RUS"
221,3.48761,1979," May Average"," Russia"," RUS"
222,10.9032,1979," Jun Average"," Russia"," RUS"
223,14.4899,1979," Jul Average"," Russia"," RUS"
224,11.4815,1979," Aug Average"," Russia"," RUS"
225,5.55817,1979," Sep Average"," Russia"," RUS"
226,-6.7554,1979," Oct Average"," Russia"," RUS"
227,-18.219,1979," Nov Average"," Russia"," RUS"
228,-22.673,1979," Dec Average"," Russia"," RUS"
