"","Temperature - (Celsius)","Year","Statistics","Country","ISO3"
"158",25.3404,1974,"Feb Average","Brazil","BRA"
"159",24.7578,1974,"Mar Average","Brazil","BRA"
"160",24.6087,1974,"Apr Average","Brazil","BRA"
"161",23.7818,1974,"May Average","Brazil","BRA"
"162",22.9627,1974,"Jun Average","Brazil","BRA"
"163",22.7203,1974,"Jul Average","Brazil","BRA"
"164",23.8054,1974,"Aug Average","Brazil","BRA"
"165",24.8112,1974,"Sep Average","Brazil","BRA"
"166",25.0914,1974,"Oct Average","Brazil","BRA"
"167",25.298,1974,"Nov Average","Brazil","BRA"
"168",24.892,1974,"Dec Average","Brazil","BRA"
"169",24.9628,1975,"Jan Average","Brazil","BRA"
"170",25.3225,1975,"Feb Average","Brazil","BRA"
"171",25.1537,1975,"Mar Average","Brazil","BRA"
"172",24.6507,1975,"Apr Average","Brazil","BRA"
"173",23.6722,1975,"May Average","Brazil","BRA"
"174",23.1252,1975,"Jun Average","Brazil","BRA"
"175",22.2264,1975,"Jul Average","Brazil","BRA"
"176",23.9431,1975,"Aug Average","Brazil","BRA"
"177",25.1385,1975,"Sep Average","Brazil","BRA"
"178",25.3244,1975,"Oct Average","Brazil","BRA"
"179",25.2785,1975,"Nov Average","Brazil","BRA"
"180",25.2825,1975,"Dec Average","Brazil","BRA"
"181",25.197,1976,"Jan Average","Brazil","BRA"
"182",25.0006,1976,"Feb Average","Brazil","BRA"
"183",24.8151,1976,"Mar Average","Brazil","BRA"
"184",24.5189,1976,"Apr Average","Brazil","BRA"
"185",23.7238,1976,"May Average","Brazil","BRA"
"186",22.7079,1976,"Jun Average","Brazil","BRA"
"187",22.883,1976,"Jul Average","Brazil","BRA"
"188",24.2148,1976,"Aug Average","Brazil","BRA"
"189",24.5038,1976,"Sep Average","Brazil","BRA"
"190",25.3091,1976,"Oct Average","Brazil","BRA"
"191",25.2898,1976,"Nov Average","Brazil","BRA"
"192",25.5567,1976,"Dec Average","Brazil","BRA"
"193",25.5046,1977,"Jan Average","Brazil","BRA"
"194",25.5587,1977,"Feb Average","Brazil","BRA"
"195",25.6569,1977,"Mar Average","Brazil","BRA"
"196",24.8021,1977,"Apr Average","Brazil","BRA"
"197",23.7289,1977,"May Average","Brazil","BRA"
"198",23.4242,1977,"Jun Average","Brazil","BRA"
"199",24.135,1977,"Jul Average","Brazil","BRA"
"200",24.2936,1977,"Aug Average","Brazil","BRA"
"201",25.2151,1977,"Sep Average","Brazil","BRA"
"202",25.6654,1977,"Oct Average","Brazil","BRA"
"203",25.7022,1977,"Nov Average","Brazil","BRA"
"204",25.6008,1977,"Dec Average","Brazil","BRA"
"205",25.6416,1978,"Jan Average","Brazil","BRA"
"206",25.7818,1978,"Feb Average","Brazil","BRA"
"207",25.4504,1978,"Mar Average","Brazil","BRA"
"208",24.7718,1978,"Apr Average","Brazil","BRA"
"209",23.8761,1978,"May Average","Brazil","BRA"
"210",22.929,1978,"Jun Average","Brazil","BRA"
"211",23.7564,1978,"Jul Average","Brazil","BRA"
"212",23.2909,1978,"Aug Average","Brazil","BRA"
"213",24.819,1978,"Sep Average","Brazil","BRA"
"214",25.6858,1978,"Oct Average","Brazil","BRA"
"215",25.655,1978,"Nov Average","Brazil","BRA"
"216",25.556,1978,"Dec Average","Brazil","BRA"
"217",25.1898,1979,"Jan Average","Brazil","BRA"
"218",25.5682,1979,"Feb Average","Brazil","BRA"
"219",25.2585,1979,"Mar Average","Brazil","BRA"
"220",24.8124,1979,"Apr Average","Brazil","BRA"
"221",24.1776,1979,"May Average","Brazil","BRA"
"222",22.5602,1979,"Jun Average","Brazil","BRA"
"223",23.0093,1979,"Jul Average","Brazil","BRA"
"224",24.6584,1979,"Aug Average","Brazil","BRA"
"225",24.7002,1979,"Sep Average","Brazil","BRA"
"226",25.9087,1979,"Oct Average","Brazil","BRA"
"227",25.6491,1979,"Nov Average","Brazil","BRA"
"228",25.6814,1979,"Dec Average","Brazil","BRA"
"229",25.4316,1980,"Jan Average","Brazil","BRA"
"230",25.5703,1980,"Feb Average","Brazil","BRA"
"231",25.666,1980,"Mar Average","Brazil","BRA"
"232",25.2862,1980,"Apr Average","Brazil","BRA"
"233",24.6646,1980,"May Average","Brazil","BRA"
"234",23.331,1980,"Jun Average","Brazil","BRA"
"235",23.4788,1980,"Jul Average","Brazil","BRA"
"236",24.3718,1980,"Aug Average","Brazil","BRA"
"237",24.6684,1980,"Sep Average","Brazil","BRA"
"238",25.8318,1980,"Oct Average","Brazil","BRA"
"239",25.3648,1980,"Nov Average","Brazil","BRA"
"240",25.7155,1980,"Dec Average","Brazil","BRA"
"241",25.4733,1981,"Jan Average","Brazil","BRA"
"242",25.6851,1981,"Feb Average","Brazil","BRA"
"243",25.5808,1981,"Mar Average","Brazil","BRA"
"244",25.1272,1981,"Apr Average","Brazil","BRA"
"245",24.4937,1981,"May Average","Brazil","BRA"
"246",22.7978,1981,"Jun Average","Brazil","BRA"
"247",22.2963,1981,"Jul Average","Brazil","BRA"
"248",24.0521,1981,"Aug Average","Brazil","BRA"
"249",24.7164,1981,"Sep Average","Brazil","BRA"
"250",25.1089,1981,"Oct Average","Brazil","BRA"
"251",25.6426,1981,"Nov Average","Brazil","BRA"
"252",25.7786,1981,"Dec Average","Brazil","BRA"
"253",25.3721,1982,"Jan Average","Brazil","BRA"
"254",25.5573,1982,"Feb Average","Brazil","BRA"
"255",25.3507,1982,"Mar Average","Brazil","BRA"
"256",24.6992,1982,"Apr Average","Brazil","BRA"
"257",23.897,1982,"May Average","Brazil","BRA"
"258",23.7926,1982,"Jun Average","Brazil","BRA"
"259",23.6735,1982,"Jul Average","Brazil","BRA"
"260",24.329,1982,"Aug Average","Brazil","BRA"
"261",24.9699,1982,"Sep Average","Brazil","BRA"
"262",25.6909,1982,"Oct Average","Brazil","BRA"
"263",25.91,1982,"Nov Average","Brazil","BRA"
"264",25.4493,1982,"Dec Average","Brazil","BRA"
"265",25.86,1983,"Jan Average","Brazil","BRA"
"266",26.1928,1983,"Feb Average","Brazil","BRA"
"267",25.7312,1983,"Mar Average","Brazil","BRA"
"268",25.7301,1983,"Apr Average","Brazil","BRA"
"269",25.1917,1983,"May Average","Brazil","BRA"
"270",23.4641,1983,"Jun Average","Brazil","BRA"
"271",23.7405,1983,"Jul Average","Brazil","BRA"
"272",23.9769,1983,"Aug Average","Brazil","BRA"
"273",24.9286,1983,"Sep Average","Brazil","BRA"
"274",25.2301,1983,"Oct Average","Brazil","BRA"
"275",25.4938,1983,"Nov Average","Brazil","BRA"
"276",25.4922,1983,"Dec Average","Brazil","BRA"
"277",25.6002,1984,"Jan Average","Brazil","BRA"
"278",25.9985,1984,"Feb Average","Brazil","BRA"
"279",25.4772,1984,"Mar Average","Brazil","BRA"
"280",24.6389,1984,"Apr Average","Brazil","BRA"
"281",24.6685,1984,"May Average","Brazil","BRA"
"282",23.3908,1984,"Jun Average","Brazil","BRA"
"283",23.5112,1984,"Jul Average","Brazil","BRA"
"284",23.5421,1984,"Aug Average","Brazil","BRA"
"285",24.5822,1984,"Sep Average","Brazil","BRA"
"286",25.9594,1984,"Oct Average","Brazil","BRA"
"287",25.6991,1984,"Nov Average","Brazil","BRA"
"288",25.5004,1984,"Dec Average","Brazil","BRA"
"289",25.4478,1985,"Jan Average","Brazil","BRA"
"290",25.5317,1985,"Feb Average","Brazil","BRA"
"291",25.5834,1985,"Mar Average","Brazil","BRA"
"292",25.0901,1985,"Apr Average","Brazil","BRA"
"293",24.3571,1985,"May Average","Brazil","BRA"
"294",22.8373,1985,"Jun Average","Brazil","BRA"
"295",22.9514,1985,"Jul Average","Brazil","BRA"
"296",23.9447,1985,"Aug Average","Brazil","BRA"
"297",25.0609,1985,"Sep Average","Brazil","BRA"
"298",25.761,1985,"Oct Average","Brazil","BRA"
"299",25.7094,1985,"Nov Average","Brazil","BRA"
"300",25.6651,1985,"Dec Average","Brazil","BRA"
"301",25.5606,1986,"Jan Average","Brazil","BRA"
"302",25.5888,1986,"Feb Average","Brazil","BRA"
